neighborhood,n
BROOKLYN,27
CARROLLTON RIDGE,27
BELAIR-EDISON,24
SANDTOWN-WINCHESTER,24
BROADWAY EAST,21
PENN NORTH,21
PENROSE/FAYETTE STREET OUTREACH,20
FRANKFORD,19
CENTRAL PARK HEIGHTS,18
EDMONDSON VILLAGE,17
MCELDERRY PARK,17
EAST BALTIMORE MIDWAY,16
UPTON,16
DOWNTOWN,15
COLDSTREAM HOMESTEAD MONTEBELLO,14
ELLWOOD PARK/MONUMENT,14
IRVINGTON,14
MILTON-MONTFORD,14
BARCLAY,13
NORTHWEST COMMUNITY ACTION,13
OLIVER,13
FRANKLIN SQUARE,12
ROSEMONT,12
BEREA,11
HARFORD-ECHODALE/PERRING PARKWAY,11
COPPIN HEIGHTS/ASH-CO-EAST,10
FELLS POINT,10
FRANKLINTOWN ROAD,10
LUCILLE PARK,10
MORRELL PARK,10
WASHINGTON VILLAGE,10
WOODMERE,10
POPPLETON,9
VIOLETVILLE,9
ARLINGTON,8
BOLTON HILL,8
CHERRY HILL,8
MIDDLE EAST,8
MILLHILL,8
MONDAWMIN,8
SAINT JOSEPHS,8
SOUTH CLIFTON PARK,8
TOWANDA-GRANTLEY,8
GREENSPRING,7
HARWOOD,7
HOWARD PARK,7
MADISON PARK,7
NEW SOUTHWEST/MOUNT CLARE,7
PARKVIEW/WOODBROOK,7
SHIPLEY HILL,7
BOOTH-BOYD,6
CARROLL-SOUTH HILTON,6
DUNBAR-BROADWAY,6
JOHNSTON SQUARE,6
LIBERTY SQUARE,6
OLDTOWN,6
BETTER WAVERLY,5
BRIDGEVIEW/GREENLAWN,5
CLIFTON PARK,5
DARLEY PARK,5
DRUID HEIGHTS,5
EAST ARLINGTON,5
GAY STREET,5
GLEN OAKS,5
HANLON-LONGWOOD,5
HARLEM PARK,5
HOLLINS MARKET,5
KENILWORTH PARK,5
LANGSTON HUGHES,5
LOCH RAVEN,5
MID-GOVANS,5
MOSHER,5
NEW NORTHWOOD,5
PERKINS HOMES,5
ROGNEL HEIGHTS,5
SETON HILL,5
WESTPORT,5
YALE HEIGHTS,5
BEECHFIELD,4
CURTIS BAY,4
DOLFIELD,4
DRUID HILL PARK,4
LEVINDALE,4
MADISON-EASTEND,4
PARK CIRCLE,4
PARKLANE,4
PEN LUCY,4
RESERVOIR HILL,4
ROSEMONT EAST,4
UNION SQUARE,4
WESTGATE,4
WOODBOURNE-MCCABE,4
ALLENDALE,3
ARMISTEAD GARDENS,3
BIDDLE STREET,3
EASTERWOOD,3
FEDERAL HILL,3
GRACELAND PARK,3
GROVE PARK,3
LAURAVILLE,3
MIDTOWN-EDMONDSON,3
MOUNT HOLLY,3
O'DONNELL HEIGHTS,3
PIMLICO GOOD NEIGHBORS,3
PULASKI INDUSTRIAL AREA,3
ROSEMONT HOMEOWNERS/TENANTS,3
SHARP-LEADENHALL,3
WAVERLY,3
WEST FOREST PARK,3
WILSON PARK,3
ARCADIA,2
ASHBURTON,2
BALTIMORE HIGHLANDS,2
BROENING MANOR,2
BURLEITH-LEIGHTON,2
CAMERON VILLAGE,2
CEDONIA,2
CENTRAL FOREST PARK,2
COLDSPRING,2
GREEKTOWN,2
GREENMOUNT WEST,2
HUNTING RIDGE,2
INNER HARBOR,2
JONESTOWN,2
MIDDLE BRANCH/REEDBIRD PARKS,2
MOUNT VERNON,2
PARKSIDE,2
PLEASANT VIEW GARDENS,2
NA,2
CALLAWAY-GARRISON,1
CANTON INDUSTRIAL AREA,1
CARROLL - CAMDEN INDUSTRIAL AREA,1
CHARLES NORTH,1
CHARLES VILLAGE,1
CHESWOLDE,1
CHINQUAPIN PARK-BELVEDERE,1
CROSS COUNTRY,1
CYLBURN,1
DORCHESTER,1
FAIRFIELD AREA,1
FALLSTAFF,1
FOREST PARK,1
FOUR BY FOUR,1
GLENHAM-BELFORD,1
GREENMOUNT CEMETERY,1
GUILFORD,1
GWYNNS FALLS/LEAKIN PARK,1
HAMPDEN,1
HIGHLANDTOWN,1
KRESSON,1
LAKE WALKER,1
LAKELAND,1
MAYFIELD,1
MEDFORD,1
MID-TOWN BELVEDERE,1
MORAVIA-WALTHER,1
MOUNT WINANS,1
OAKENSHAWE,1
ORANGEVILLE,1
PANWAY/BRADDISH AVENUE,1
PERRING LOCH,1
RADNOR-WINSTON,1
RAMBLEWOOD,1
REISTERSTOWN STATION,1
REMINGTON,1
RICHNOR SPRINGS,1
RIDGELY'S DELIGHT,1
SAINT AGNES,1
TEN HILLS,1
WALBROOK,1
WASHINGTON HILL,1
WEST ARLINGTON,1
WILSON HEIGHTS,1
WINCHESTER,1
WINSTON-GOVANS,1
WYMAN PARK,1
